"dia","estaci","nivell_absolut","percentatge_volum_embassat","volum_embassat"
"2024-06-08T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.04","34.4","8.38"
"2024-06-08T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.87","22.6","13.83"
"2024-06-08T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.02","26.9","21.53"
"2024-06-08T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.17","30.6","50.61"
"2024-06-07T00:00:00.000","Embassament de Susqueda (Osor)","312.29","32","74.63"
"2024-06-07T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.99","26.9","21.5"
"2024-06-07T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.87","22.6","13.83"
"2024-06-07T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.03","34.3","8.37"
"2024-06-07T00:00:00.000","Embassament de Riudecanyes","194.36","2.5","0.13"
"2024-06-07T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.41","2.3","0.28"
"2024-06-07T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.43","68.3","2.56"
"2024-06-07T00:00:00.000","Embassament de la Baells (Cercs)","610.05","47.2","51.66"
"2024-06-07T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.21","30.7","50.72"
"2024-06-06T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.85","22.6","13.8"
"2024-06-06T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.16","30.6","50.59"
"2024-06-06T00:00:00.000","Embassament de Susqueda (Osor)","311.96","31.7","73.78"
"2024-06-06T00:00:00.000","Embassament de la Baells (Cercs)","609.96","47","51.48"
"2024-06-06T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.01","34.3","8.36"
"2024-06-06T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.44","2.3","0.28"
"2024-06-06T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.96","26.8","21.47"
"2024-06-06T00:00:00.000","Embassament de Riudecanyes","194.37","2.5","0.13"
"2024-06-06T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.47","68.8","2.57"
"2024-06-05T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.91","26.8","21.42"
"2024-06-05T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515","34.3","8.35"
"2024-06-05T00:00:00.000","Embassament de la Baells (Cercs)","609.85","46.8","51.24"
"2024-06-05T00:00:00.000","Embassament de Riudecanyes","194.38","2.5","0.13"
"2024-06-05T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.84","22.6","13.78"
"2024-06-05T00:00:00.000","Embassament de Sau (Vilanova de Sau)","397.93","30.2","49.91"
"2024-06-05T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.48","2.3","0.28"
"2024-06-05T00:00:00.000","Embassament de Susqueda (Osor)","311.6","31.3","72.84"
"2024-06-05T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.48","68.9","2.58"
"2024-06-04T00:00:00.000","Embassament de Riudecanyes","194.39","2.5","0.13"
"2024-06-04T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.86","26.7","21.37"
"2024-06-04T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.49","69.1","2.58"
"2024-06-04T00:00:00.000","Embassament de Susqueda (Osor)","310.99","30.6","71.31"
"2024-06-04T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.99","34.2","8.34"
"2024-06-04T00:00:00.000","Embassament de la Baells (Cercs)","609.71","46.5","50.94"
"2024-06-04T00:00:00.000","Embassament de Sau (Vilanova de Sau)","397.61","29.6","49"
"2024-06-04T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.51","2.3","0.28"
"2024-06-04T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.8","22.5","13.74"
"2024-06-03T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.8","26.6","21.31"
"2024-06-03T00:00:00.000","Embassament de Susqueda (Osor)","310.53","30.1","70.16"
"2024-06-03T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.54","2.3","0.29"
"2024-06-03T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.49","69.1","2.59"
"2024-06-03T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.79","22.5","13.72"
"2024-06-03T00:00:00.000","Embassament de Sau (Vilanova de Sau)","397.37","29.3","48.34"
"2024-06-03T00:00:00.000","Embassament de la Baells (Cercs)","609.57","46.3","50.64"
"2024-06-03T00:00:00.000","Embassament de Riudecanyes","194.4","2.5","0.13"
"2024-06-03T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.97","34.2","8.33"
"2024-06-02T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.56","2.4","0.29"
"2024-06-02T00:00:00.000","Embassament de Riudecanyes","194.41","2.5","0.13"
"2024-06-02T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.95","34.1","8.32"
"2024-06-02T00:00:00.000","Embassament de Sau (Vilanova de Sau)","397.24","29","47.97"
"2024-06-02T00:00:00.000","Embassament de Susqueda (Osor)","310.18","29.7","69.28"
"2024-06-02T00:00:00.000","Embassament de la Baells (Cercs)","609.43","46","50.34"
"2024-06-02T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.76","26.6","21.27"
"2024-06-02T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.47","68.9","2.58"
"2024-06-02T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.76","22.4","13.68"
"2024-06-01T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.73","22.3","13.65"
"2024-06-01T00:00:00.000","Embassament de la Baells (Cercs)","609.24","45.6","49.94"
"2024-06-01T00:00:00.000","Embassament de Riudecanyes","194.41","2.5","0.13"
"2024-06-01T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.23","65.6","2.45"
"2024-06-01T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.58","2.4","0.29"
"2024-06-01T00:00:00.000","Embassament de Susqueda (Osor)","309.8","29.3","68.38"
"2024-06-01T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.72","26.5","21.23"
"2024-06-01T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.93","34.1","8.3"
"2024-06-01T00:00:00.000","Embassament de Sau (Vilanova de Sau)","396.95","28.5","47.17"
"2024-05-31T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.69","22.3","13.6"
"2024-05-31T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.92","34","8.29"
"2024-05-31T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.21","65.3","2.44"
"2024-05-31T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.61","2.4","0.29"
"2024-05-31T00:00:00.000","Embassament de la Baells (Cercs)","608.96","45.1","49.35"
"2024-05-31T00:00:00.000","Embassament de Sau (Vilanova de Sau)","396.57","27.9","46.13"
"2024-05-31T00:00:00.000","Embassament de Riudecanyes","194.42","2.5","0.13"
"2024-05-31T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.68","26.5","21.18"
"2024-05-31T00:00:00.000","Embassament de Susqueda (Osor)","309.43","29","67.48"
"2024-05-30T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.64","22.1","13.53"
"2024-05-30T00:00:00.000","Embassament de Riudecanyes","194.43","2.5","0.13"
"2024-05-30T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.25","65.8","2.46"
"2024-05-30T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.64","2.4","0.29"
"2024-05-30T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.61","26.4","21.11"
"2024-05-30T00:00:00.000","Embassament de la Baells (Cercs)","608.55","44.3","48.5"
"2024-05-30T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.91","34","8.28"
"2024-05-30T00:00:00.000","Embassament de Susqueda (Osor)","309.16","28.7","66.82"
"2024-05-30T00:00:00.000","Embassament de Sau (Vilanova de Sau)","396.03","27","44.69"
"2024-05-29T00:00:00.000","Embassament de Sau (Vilanova de Sau)","395.88","26.8","44.3"
"2024-05-29T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.89","33.9","8.27"
"2024-05-29T00:00:00.000","Embassament de Riudecanyes","194.44","2.5","0.14"
"2024-05-29T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.58","22","13.42"
"2024-05-29T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.67","2.4","0.3"
"2024-05-29T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.56","26.3","21.06"
"2024-05-29T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.27","66.2","2.47"
"2024-05-29T00:00:00.000","Embassament de la Baells (Cercs)","608.46","44.1","48.22"
"2024-05-29T00:00:00.000","Embassament de Susqueda (Osor)","308.94","28.5","66.29"
